epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,11127,1.10592,1.00636,1.44923,0.82121,0.72554,0.76425,0.45774,1.53234,1.03131,2.0269,0.002872,0.002872,0.002872
74,11282,1.10733,1.00643,1.44604,0.81864,0.72309,0.76062,0.45457,1.53749,1.03039,2.03549,0.002773,0.002773,0.002773
75,11430,1.10908,1.00733,1.45023,0.80726,0.73159,0.76323,0.45724,1.54013,1.03271,2.03835,0.002674,0.002674,0.002674
76,11583.6,1.09758,0.98405,1.43722,0.79299,0.74428,0.76626,0.45644,1.53819,1.02935,2.0374,0.002575,0.002575,0.002575
77,11744.5,1.10111,0.98689,1.4356,0.80376,0.73645,0.76833,0.45598,1.53605,1.03028,2.03605,0.002476,0.002476,0.002476
78,11896,1.08795,0.98562,1.43708,0.80308,0.74022,0.76721,0.45465,1.53657,1.03014,2.03892,0.002377,0.002377,0.002377
79,12047.1,1.07852,0.9723,1.42867,0.81183,0.72676,0.7651,0.455,1.53769,1.02905,2.04346,0.002278,0.002278,0.002278
80,12202.1,1.08076,0.96736,1.43014,0.79558,0.74245,0.76534,0.45543,1.53751,1.03049,2.04477,0.002179,0.002179,0.002179
81,12355.8,1.08111,0.95612,1.42385,0.79915,0.74321,0.76427,0.45535,1.5389,1.02928,2.0476,0.00208,0.00208,0.00208
82,12510.8,1.07163,0.95531,1.41915,0.80243,0.74284,0.76455,0.45467,1.54007,1.02902,2.04936,0.001981,0.001981,0.001981
83,12666.5,1.06501,0.94755,1.41739,0.80203,0.74397,0.76533,0.45342,1.54099,1.03195,2.05117,0.001882,0.001882,0.001882
84,12826.8,1.05065,0.93636,1.40564,0.80158,0.74261,0.76611,0.45309,1.54207,1.03243,2.05427,0.001783,0.001783,0.001783
